IN3,IN2,IN1,IN0,PP,PG,VP,VG,R4,Slope,Anomaly,AffectedComponent,Situation,OperationalScenario,CombinedAffectedComponent,CombinedSituation
0,0,0,0,0,0,0,0,9987,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.021505376344086023,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.01,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.01,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9989,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.010309278350515464,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.010309278350515464,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.020618556701030927,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010309278350515464,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.030612244897959183,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.010416666666666666,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9985,-0.020833333333333332,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9985,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,1,0,0,9985,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.0196078431372549,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9989,0.030612244897959183,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.022222222222222223,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.031914893617021274,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9989,0.030612244897959183,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.02040816326530612,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.010416666666666666,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010309278350515464,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.020833333333333332,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010309278350515464,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.009900990099009901,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.009708737864077669,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.01,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.01,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.02,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.01,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.021052631578947368,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.021505376344086023,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9989,0.042105263157894736,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.031914893617021274,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.00980392156862745,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.019801980198019802,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.009900990099009901,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.00980392156862745,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.009900990099009901,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.01,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010309278350515464,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.02040816326530612,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.009900990099009901,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.00980392156862745,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.00980392156862745,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.00980392156862745,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.00980392156862745,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.0196078431372549,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.021052631578947368,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.021052631578947368,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.009900990099009901,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.02040816326530612,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010101010101010102,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010869565217391304,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.021505376344086023,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.021505376344086023,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,-0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9985,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9987,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,1,0,1,0,0,9986,-0.009174311926605505,No,None,Normal,Normal,None,Normal
